empty,Source,Target,Type,Id,Weight
x,6,69,Directed,0,38700
x,14,69,Directed,1,4310
x,15,69,Directed,2,3970
x,19,69,Directed,3,1400
x,21,69,Directed,4,887
x,22,69,Directed,5,819
x,25,69,Directed,6,440
x,26,69,Directed,7,349
x,29,69,Directed,8,273
x,35,69,Directed,9,71
x,36,69,Directed,10,65
x,38,69,Directed,11,53
x,41,69,Directed,12,30
x,43,69,Directed,13,25
x,44,69,Directed,14,12
x,45,69,Directed,15,10
x,47,69,Directed,16,7
x,48,69,Directed,17,6
x,51,69,Directed,18,6
x,53,69,Directed,19,4
x,54,69,Directed,20,4
x,56,69,Directed,21,3
x,57,69,Directed,22,3
x,58,69,Directed,23,3
x,61,69,Directed,24,2
x,63,69,Directed,25,1
x,64,69,Directed,26,1
x,67,69,Directed,27,1
x,68,69,Directed,28,1
x,5,70,Directed,29,39100
x,16,70,Directed,30,2750
x,20,70,Directed,31,1200
x,23,70,Directed,32,751
x,25,70,Directed,33,440
x,27,70,Directed,34,327
x,30,70,Directed,35,161
x,35,70,Directed,36,71
x,36,70,Directed,37,65
x,37,70,Directed,38,57
x,39,70,Directed,39,48
x,42,70,Directed,40,28
x,43,70,Directed,41,25
x,45,70,Directed,42,10
x,47,70,Directed,43,7
x,48,70,Directed,44,6
x,57,70,Directed,45,3
x,59,70,Directed,46,2
x,60,70,Directed,47,2
x,62,70,Directed,48,1
x,65,70,Directed,49,1
x,66,70,Directed,50,1
x,68,70,Directed,51,1
x,1,71,Directed,52,754000
x,2,71,Directed,53,278000
x,8,71,Directed,54,11800
x,10,71,Directed,55,10500
x,11,71,Directed,56,7230
x,12,71,Directed,57,5600
x,17,71,Directed,58,1820
x,18,71,Directed,59,1560
x,19,71,Directed,60,1400
x,22,71,Directed,61,819
x,23,71,Directed,62,751
x,26,71,Directed,63,349
x,27,71,Directed,64,327
x,29,71,Directed,65,273
x,32,71,Directed,66,89
x,33,71,Directed,67,83
x,34,71,Directed,68,78
x,37,71,Directed,69,57
x,39,71,Directed,70,48
x,40,71,Directed,71,38
x,43,71,Directed,72,25
x,44,71,Directed,73,12
x,46,71,Directed,74,8
x,47,71,Directed,75,7
x,48,71,Directed,76,6
x,54,71,Directed,77,4
x,55,71,Directed,78,3
x,56,71,Directed,79,3
x,57,71,Directed,80,3
x,58,71,Directed,81,3
x,60,71,Directed,82,2
x,62,71,Directed,83,1
x,63,71,Directed,84,1
x,64,71,Directed,85,1
x,65,71,Directed,86,1
x,66,71,Directed,87,1
x,67,71,Directed,88,1
x,68,71,Directed,89,1
x,7,72,Directed,90,18000
x,9,72,Directed,91,11400
x,11,72,Directed,92,7230
x,15,72,Directed,93,3970
x,17,72,Directed,94,1820
x,20,72,Directed,95,1200
x,21,72,Directed,96,887
x,24,72,Directed,97,462
x,26,72,Directed,98,349
x,29,72,Directed,99,273
x,30,72,Directed,100,161
x,31,72,Directed,101,133
x,32,72,Directed,102,89
x,33,72,Directed,103,83
x,35,72,Directed,104,71
x,37,72,Directed,105,57
x,39,72,Directed,106,48
x,45,72,Directed,107,10
x,46,72,Directed,108,8
x,48,72,Directed,109,6
x,50,72,Directed,110,6
x,53,72,Directed,111,4
x,55,72,Directed,112,3
x,57,72,Directed,113,3
x,61,72,Directed,114,2
x,62,72,Directed,115,1
x,64,72,Directed,116,1
x,66,72,Directed,117,1
x,67,72,Directed,118,1
x,0,73,Directed,119,962000
x,2,73,Directed,120,278000
x,4,73,Directed,121,39200
x,8,73,Directed,122,11800
x,9,73,Directed,123,11400
x,14,73,Directed,124,4310
x,16,73,Directed,125,2750
x,17,73,Directed,126,1820
x,18,73,Directed,127,1560
x,21,73,Directed,128,887
x,22,73,Directed,129,819
x,27,73,Directed,130,327
x,28,73,Directed,131,285
x,29,73,Directed,132,273
x,30,73,Directed,133,161
x,31,73,Directed,134,133
x,32,73,Directed,135,89
x,34,73,Directed,136,78
x,36,73,Directed,137,65
x,39,73,Directed,138,48
x,41,73,Directed,139,30
x,44,73,Directed,140,12
x,45,73,Directed,141,10
x,47,73,Directed,142,7
x,48,73,Directed,143,6
x,49,73,Directed,144,6
x,53,73,Directed,145,4
x,55,73,Directed,146,3
x,56,73,Directed,147,3
x,59,73,Directed,148,2
x,62,73,Directed,149,1
x,63,73,Directed,150,1
x,64,73,Directed,151,1
x,65,73,Directed,152,1
x,12,74,Directed,153,5600
x,13,74,Directed,154,4690
x,18,74,Directed,155,1560
x,28,74,Directed,156,285
x,34,74,Directed,157,78
x,40,74,Directed,158,38
x,46,74,Directed,159,8
x,49,74,Directed,160,6
x,50,74,Directed,161,6
x,51,74,Directed,162,6
x,52,74,Directed,163,5
x,54,74,Directed,164,4
x,55,74,Directed,165,3
x,56,74,Directed,166,3
x,63,74,Directed,167,1
x,3,75,Directed,168,196000
x,4,75,Directed,169,39200
x,8,75,Directed,170,11800
x,10,75,Directed,171,10500
x,24,75,Directed,172,462
x,31,75,Directed,173,133
x,32,75,Directed,174,89
x,33,75,Directed,175,83
x,34,75,Directed,176,78
x,38,75,Directed,177,53
x,40,75,Directed,178,38
x,41,75,Directed,179,30
x,42,75,Directed,180,28
x,44,75,Directed,181,12
x,49,75,Directed,182,6
x,52,75,Directed,183,5
x,53,75,Directed,184,4
x,58,75,Directed,185,3
x,59,75,Directed,186,2
x,60,75,Directed,187,2
x,61,75,Directed,188,2
x,62,75,Directed,189,1
x,63,75,Directed,190,1
x,64,75,Directed,191,1
x,65,75,Directed,192,1
x,66,75,Directed,193,1
x,67,75,Directed,194,1
x,68,75,Directed,195,1
